first_name,email
John,john-doe@bogusemail.com
Mary,maryjacobs@bogusemail.com
Dave,davesmith@bogusemail.com
Jane,janestuart@bogusemail.com
Tom,tomwright@bogusemail.com
Steve,steverobinson@bogusemail.com
Nicole,nicolejacobs@bogusemail.com
Jane,janewright@bogusemail.com
Jane,janedoe@bogusemail.com
Kurt,kurtwright@bogusemail.com
Kurt,kurtrobinson@bogusemail.com
Jane,janejenkins@bogusemail.com
Neil,neilrobinson@bogusemail.com
Tom,tompatterson@bogusemail.com
Sam,samjenkins@bogusemail.com
Steve,stevestuart@bogusemail.com
Maggie,maggiepatterson@bogusemail.com
Maggie,maggiestuart@bogusemail.com
Jane,janedoe@bogusemail.com
Steve,stevepatterson@bogusemail.com
Dave,davesmith@bogusemail.com
Sam,samwilks@bogusemail.com
Kurt,kurtjefferson@bogusemail.com
Sam,samstuart@bogusemail.com
Jane,janestuart@bogusemail.com
Dave,davedavis@bogusemail.com
Sam,sampatterson@bogusemail.com
Tom,tomjefferson@bogusemail.com
Jane,janestuart@bogusemail.com
Maggie,maggiejefferson@bogusemail.com
Mary,marywilks@bogusemail.com
Neil,neilpatterson@bogusemail.com
Corey,coreydavis@bogusemail.com
Steve,stevejacobs@bogusemail.com
Jane,janejenkins@bogusemail.com
John,johnjacobs@bogusemail.com
Neil,neilsmith@bogusemail.com
Corey,coreywilks@bogusemail.com
Corey,coreysmith@bogusemail.com
Mary,marypatterson@bogusemail.com
Jane,janestuart@bogusemail.com
Travis,travisarnold@bogusemail.com
John,johnrobinson@bogusemail.com
Travis,travisarnold@bogusemail.com
